bucket,rows,avg_probability,event_rate,abs_calibration_error
"(-0.001, 0.1]",154835,0.022164371135628073,0.00619369005715762,0.015970681078470453
"(0.1, 0.2]",51111,0.1379319245048558,0.09553716421122654,0.04239476029362926
"(0.2, 0.3]",30840,0.2496019285719982,0.22380025940337225,0.025801669168625946
"(0.3, 0.4]",12189,0.3426399001584124,0.4138977766838953,0.07125787652548293
"(0.4, 0.5]",7159,0.44598234117301083,0.7565302416538623,0.31054790048085146
"(0.5, 0.6]",4393,0.5444624164070582,0.936489870248122,0.39202745384106386
"(0.6, 0.7]",1587,0.6371748831585647,0.9798361688720857,0.34266128571352095
"(0.7, 0.8]",281,0.7237447201053219,1.0,0.27625527989467813
