heuristic,grouped_log_loss,grouped_brier_score,top_bucket_accuracy
model,1.4930530477199258,0.0767526431270054,0.3291754562964322
uniform_over_ladder,2.197224577336219,0.09876543209876543,
bucket_containing_max_so_far,,,0.29340548472897365
