policy,rows,coverage,avg_probability,brier_score,log_loss,roc_auc
already_hit_threshold,394200,1.0,0.28234442313546426,0.27216079509993457,3.7600485860880224,0.7545908704125608
current_temp_hit_threshold,394200,1.0,0.21938412287671236,0.33512109535868656,4.629878955745818,0.6978191649968434
