bucket,rows,avg_probability,event_rate,brier_score,log_loss,avg_abs_error
0-10,33,0.0473306310378247,0.12121212121212122,0.10842911746063803,0.38143380448382436,0.15221788744023262
10-25,51,0.1409934791733344,0.2549019607843137,0.19690368428485674,0.5901978231051439,0.3175489424423283
25-40,29,0.3626588916546003,0.5517241379310345,0.2920595886998326,0.7823588143325595,0.5225057037787998
40-60,8,0.45860528565028513,1.0,0.2937589480816629,0.7811020608015508,0.5413947143497148
60-75,3,0.7079746942276954,1.0,0.08528221385635402,0.34535035901806393,0.2920253057723045
75-90,1,0.7619047619047619,1.0,0.056689342403628135,0.2719337154836418,0.23809523809523814
90-100,55,0.9991852689261889,1.0,7.2853693274975615e-06,0.0008183956451299444,0.0008147310738114901
