bucket,rows,avg_probability,event_rate,brier_score,log_loss,avg_abs_error
-5--2F,44,0.9059184291665713,1.0,0.051749685733965566,0.1385319679626009,0.09408157083342897
-2-0F,38,0.49026880483233803,1.0,0.3833043344492908,1.0523822635954931,0.5097311951676621
0-2F,40,0.3257024331571062,0.35,0.13965488244720087,0.4133825574695734,0.24758822482307075
2-5F,50,0.16555302102166325,0.08,0.0439938416224106,0.18610021207179442,0.14929828232998932
>5F,8,0.12289664955959934,0.0,0.01556835632335037,0.13142220900616483,0.12289664955959934
