bucket,rows,avg_probability,event_rate,brier_score,log_loss,avg_abs_error
<=-5F,48,0.16355702778528902,0.020833333333333332,0.046920456929128024,0.20129728564776564,0.16895826235319025
-5--2F,60,0.16409839592771505,0.48333333333333334,0.29945039290608527,0.8482741608791645,0.4218712513002155
-2-0F,39,0.7722754645818742,0.9487179487179487,0.11624253968615972,0.3175103951072387,0.21545851283916284
0-2F,27,0.9993359598657832,1.0,5.936227044627644e-06,0.0006670260813095892,0.000664040134216775
2-5F,6,0.9970153193960246,1.0,2.6713018200824396e-05,0.002998117364143049,0.002984680603975387
