bucket,rows,avg_probability,event_rate,brier_score,log_loss,avg_abs_error
<=50F,25374,0.6282294374504438,0.614566091274533,0.08570817225486947,0.26306495255704865,0.18016768376921213
50-60F,13224,0.5745892140036292,0.5544464609800362,0.10108705452461367,0.3084165655806845,0.21121060523458168
60-70F,15372,0.5907706461984648,0.5796252927400468,0.10912380637389964,0.32963181004064546,0.222264382489273
70-80F,19728,0.6034804105997748,0.573905109489051,0.11307094649271239,0.34350691558449875,0.2352219348284212
80-90F,18192,0.5227815925187095,0.5171503957783641,0.11839020671822699,0.365007700109873,0.24139580818633596
>90F,6390,0.3505469181638806,0.3107981220657277,0.11208677117471834,0.3514802793213879,0.22882341249711682
