bucket,rows,avg_probability,event_rate,brier_score,log_loss,avg_abs_error
0-10,12601,0.04609370473535304,0.025315451154670265,0.024859739706245543,0.11562773533482161,0.06793962235736879
10-25,15125,0.17400028822942312,0.13732231404958678,0.11762006122362872,0.3962706307229042,0.2594364466859074
25-40,10947,0.32081114773498814,0.2903078468986937,0.205654920252732,0.6014020781067099,0.42161896704031376
40-60,11790,0.4970842253800172,0.45674300254452926,0.24603759896814636,0.6851850765431343,0.49269407207702515
60-75,7684,0.6743900458681024,0.6592920353982301,0.2224688946374611,0.6366208430211557,0.44016857072026183
75-90,7752,0.8248269847817773,0.8248194014447885,0.14242681360739207,0.45660133717539714,0.28506973343419023
90-100,32381,0.991788125162593,0.9923411877335474,0.0071568484257792525,0.02901786052332652,0.014788276071164131
