station,rows,event_rate,avg_probability,brier_score,log_loss,roc_auc
KBOS,19656,0.5555555555555556,0.5811589022650786,0.09815710865254554,0.2989282554567893,0.9387776276684244
KORD,19656,0.5546398046398047,0.5832010038072292,0.09965997309056925,0.30465223051445756,0.9386102061077344
KDCA,19656,0.5552503052503053,0.5812396169967023,0.10722807235245976,0.3302553867205502,0.9302209057590369
KLGA,19656,0.554945054945055,0.5745782939432603,0.10740411926740873,0.3254835208621031,0.9284705905432792
KATL,19656,0.554945054945055,0.542881145324638,0.11103659681613758,0.34240498827759125,0.9263599871075356
