window,model,groups,grouped_log_loss,grouped_brier_score,top_bucket_accuracy
early_09_10,dynamic_bucket_classifier,3632,1.7329684348613992,0.08697927257595695,0.13381057268722468
early_09_10,cumulative_threshold_derived_bucket,3632,5.996390235521976,0.1244839223402928,0.033314977973568284
early_09_10,uniform_over_ladder,3632,2.197224577336219,0.09876543209876543,
early_09_10,bucket_containing_max_so_far,3632,,,0.16602422907488987
midday_11_12,dynamic_bucket_classifier,3632,1.560373836705359,0.08133672347117721,0.2348568281938326
midday_11_12,cumulative_threshold_derived_bucket,3632,7.849445469583614,0.11436312051245635,0.14234581497797358
midday_11_12,uniform_over_ladder,3632,2.197224577336219,0.09876543209876543,
midday_11_12,bucket_containing_max_so_far,3632,,,0.3584801762114537
late_13_plus,dynamic_bucket_classifier,3639,1.0777461379123916,0.059963799463614346,0.5361363011816433
late_13_plus,cumulative_threshold_derived_bucket,3639,15.534143799175114,0.13009779561097173,0.19675735092058258
late_13_plus,uniform_over_ladder,3639,2.197224577336219,0.09876543209876543,
late_13_plus,bucket_containing_max_so_far,3639,,,0.7422368782632591
