window,model,groups,grouped_log_loss,grouped_brier_score,top_bucket_accuracy
early_09_10,dynamic_bucket_classifier,3632,1.7737149593128971,0.08806542383829903,0.18337004405286345
early_09_10,cumulative_threshold_derived_bucket,3632,3.2480796786700052,0.11243024501346073,0.10572687224669604
early_09_10,regression_empirical_residual_bucket,3632,2.5234746832684825,0.11537445345484691,0.10435022026431719
early_09_10,uniform_over_ladder,3632,2.197224577336219,0.09876543209876543,
early_09_10,bucket_containing_max_so_far,3632,,,0.11536343612334801
midday_11_12,dynamic_bucket_classifier,3632,1.6025226430433843,0.08228327674860984,0.2610132158590308
midday_11_12,cumulative_threshold_derived_bucket,3632,2.2137001409523447,0.09255173977660483,0.2453193832599119
midday_11_12,regression_empirical_residual_bucket,3632,2.142133173296641,0.10099570488193675,0.21640969162995594
midday_11_12,uniform_over_ladder,3632,2.197224577336219,0.09876543209876543,
midday_11_12,bucket_containing_max_so_far,3632,,,0.22466960352422907
late_13_plus,dynamic_bucket_classifier,3639,1.1036719998714852,0.05994162887663832,0.5427315196482551
late_13_plus,cumulative_threshold_derived_bucket,3639,1.569486435999497,0.062385552790833056,0.5567463588898048
late_13_plus,regression_empirical_residual_bucket,3639,1.717891262309164,0.0873124873749682,0.34487496564990383
late_13_plus,uniform_over_ladder,3639,2.197224577336219,0.09876543209876543,
late_13_plus,bucket_containing_max_so_far,3639,,,0.5397087111843913
