model,grouped_log_loss,grouped_brier_score,top_bucket_accuracy
dynamic_bucket_classifier,1.4971491649658517,0.0768355900919186,0.3313766853159681
cumulative_threshold_derived_bucket,2.34814781959127,0.0890004281285288,0.3036778868201412
uniform_over_ladder,2.197224577336219,0.0987654320987654,
bucket_containing_max_so_far,,,0.2934054847289736
regression_empirical_residual_bucket,2.152570556111006,0.1022180490615409,0.2106759607447491
ngboost_normal_crps_bucket,2.246827738796491,0.1032052563873988,0.2022379161698615
