window,model,groups,grouped_log_loss,grouped_brier_score,top_bucket_accuracy
early_09_10,dynamic_bucket_classifier,3632,1.7763087594671672,0.0881185281924224,0.2081497797356828
early_09_10,cumulative_threshold_derived_bucket,3632,3.2512092203536045,0.1124471325269165,0.1043502202643171
early_09_10,regression_empirical_residual_bucket,3632,2.545497187519865,0.1165264892324703,0.0892070484581497
early_09_10,ngboost_normal_crps_bucket,3632,2.599830624074757,0.1195705229828997,0.0512114537444933
early_09_10,uniform_over_ladder,3632,2.197224577336219,0.0987654320987654,
early_09_10,bucket_containing_max_so_far,3632,,,0.115363436123348
midday_11_12,dynamic_bucket_classifier,3632,1.6075546205538676,0.0823615040931477,0.2433920704845815
midday_11_12,cumulative_threshold_derived_bucket,3632,2.218893518568496,0.0923895302404788,0.2488986784140969
midday_11_12,regression_empirical_residual_bucket,3632,2.1717890135865563,0.101846068999912,0.2073237885462555
midday_11_12,ngboost_normal_crps_bucket,3632,2.221260463708235,0.1019856642807358,0.207874449339207
midday_11_12,uniform_over_ladder,3632,2.197224577336219,0.0987654320987654,
midday_11_12,bucket_containing_max_so_far,3632,,,0.224669603524229
late_13_plus,dynamic_bucket_classifier,3639,1.108333484305107,0.0600590715886227,0.5421819181093707
late_13_plus,cumulative_threshold_derived_bucket,3639,1.5758292193565686,0.0622162431201346,0.5572959604286892
late_13_plus,regression_empirical_residual_bucket,3639,1.7412182717394282,0.0883083972019697,0.3352569387194284
late_13_plus,ngboost_normal_crps_bucket,3639,1.920021985509841,0.0880887161995838,0.3473481725748832
late_13_plus,uniform_over_ladder,3639,2.197224577336219,0.0987654320987654,
late_13_plus,bucket_containing_max_so_far,3639,,,0.5397087111843913
