model,grouped_log_loss,grouped_brier_score,top_bucket_accuracy
dynamic_bucket_classifier,1.4971491649658517,0.07683559009191865,0.3313766853159681
cumulative_threshold_derived_bucket,2.34814781959127,0.08900042812852883,0.30367788682014124
uniform_over_ladder,2.197224577336219,0.09876543209876543,
bucket_containing_max_so_far,,,0.29340548472897365
regression_empirical_residual_bucket,2.152570556111006,0.10221804906154096,0.21067596074474915
