station,city,timezone,local_date,snapshot_time_local,hour_local,day_of_year,current_temp,max_temp_so_far,threshold,threshold_minus_current_temp,threshold_minus_max_so_far,temp_change_1h,temp_change_3h,dewpoint,wind_speed,wind_dir_sin,wind_dir_cos,cloud_cover_code,final_high_tmpf,target
KATL,Atlanta,America/New_York,2025-05-01,2025-05-01 13:52:00-04:00,13,121,80.0,80.0,76.0,-4.0,-4.0,,,59.0,17.0,-0.34202014332566866,-0.9396926207859084,2,80.0,1
KATL,Atlanta,America/New_York,2025-05-01,2025-05-01 13:52:00-04:00,13,121,80.0,80.0,77.0,-3.0,-3.0,,,59.0,17.0,-0.34202014332566866,-0.9396926207859084,2,80.0,1
KATL,Atlanta,America/New_York,2025-05-01,2025-05-01 13:52:00-04:00,13,121,80.0,80.0,78.0,-2.0,-2.0,,,59.0,17.0,-0.34202014332566866,-0.9396926207859084,2,80.0,1
KATL,Atlanta,America/New_York,2025-05-01,2025-05-01 13:52:00-04:00,13,121,80.0,80.0,79.0,-1.0,-1.0,,,59.0,17.0,-0.34202014332566866,-0.9396926207859084,2,80.0,1
KATL,Atlanta,America/New_York,2025-05-01,2025-05-01 13:52:00-04:00,13,121,80.0,80.0,80.0,0.0,0.0,,,59.0,17.0,-0.34202014332566866,-0.9396926207859084,2,80.0,1
KATL,Atlanta,America/New_York,2025-05-01,2025-05-01 13:52:00-04:00,13,121,80.0,80.0,81.0,1.0,1.0,,,59.0,17.0,-0.34202014332566866,-0.9396926207859084,2,80.0,0
KATL,Atlanta,America/New_York,2025-05-01,2025-05-01 13:52:00-04:00,13,121,80.0,80.0,82.0,2.0,2.0,,,59.0,17.0,-0.34202014332566866,-0.9396926207859084,2,80.0,0
KATL,Atlanta,America/New_York,2025-05-01,2025-05-01 13:52:00-04:00,13,121,80.0,80.0,83.0,3.0,3.0,,,59.0,17.0,-0.34202014332566866,-0.9396926207859084,2,80.0,0
KATL,Atlanta,America/New_York,2025-05-01,2025-05-01 13:52:00-04:00,13,121,80.0,80.0,84.0,4.0,4.0,,,59.0,17.0,-0.34202014332566866,-0.9396926207859084,2,80.0,0
