config,learning_rate,max_depth,max_iter,min_samples_leaf,l2_regularization,calibration_method,train_rows,validation_rows,accuracy,brier_score,log_loss,roc_auc
shallow_sigmoid,0.05,4,300,100,0.05,sigmoid,8370,32400,0.7845061728395062,0.14669037785655462,0.43760255667695275,0.8797925102379599
slow_depth4,0.03,4,500,100,0.1,isotonic,8370,32400,0.7804938271604939,0.14716307987691324,0.4341312919532844,0.8785454180111192
conservative_depth4,0.05,4,300,100,0.05,isotonic,8370,32400,0.7804320987654321,0.14729504398143597,0.4416208532186233,0.8781158732367358
conservative_depth5,0.05,5,300,100,0.05,isotonic,8370,32400,0.7779938271604938,0.1480492628321199,0.44130357376403373,0.8780455126250325
slow_depth5,0.03,5,500,75,0.05,isotonic,8370,32400,0.7763580246913581,0.15057427687633998,0.45545708030158133,0.8756957968432528
default,0.05,6,300,50,0.0,isotonic,8370,32400,0.7765123456790124,0.1536711632729871,0.46511851068411736,0.8686939699553611
