config,learning_rate,max_depth,max_iter,min_samples_leaf,l2_regularization,calibration_method,train_rows,validation_rows,accuracy,brier_score,log_loss,roc_auc
default,0.05,6,300,50,0.0,isotonic,295920,98280,0.8467846967846968,0.1046971740558858,0.32057075956549463,0.9322327461240081
conservative_depth5,0.05,5,300,100,0.05,isotonic,295920,98280,0.8453703703703703,0.1052022375998585,0.3220466225451252,0.9315402991644357
slow_depth5,0.03,5,500,75,0.05,isotonic,295920,98280,0.8455636955636956,0.10521156839502747,0.32215921679898457,0.9314672546610847
conservative_depth4,0.05,4,300,100,0.05,isotonic,295920,98280,0.8431216931216932,0.10639729991168886,0.32530224829018384,0.9298742429738167
slow_depth4,0.03,4,500,100,0.1,isotonic,295920,98280,0.842989417989418,0.10642145741331133,0.32567774206460015,0.9298115925267222
shallow_sigmoid,0.05,4,300,100,0.05,sigmoid,295920,98280,0.8433964183964184,0.10643766068374318,0.3256013964436279,0.9298136711702901
