bucket,rows,avg_probability,event_rate,brier_score,log_loss,avg_abs_error
<=50F,4229,0.6319779331616787,0.614566091274533,0.2163164970406157,0.6239316915017855,0.42532215982448773
50-60F,2204,0.572206319390448,0.5544464609800362,0.2246159346883219,0.639807458246733,0.4488591801371289
60-70F,2562,0.5724742794528191,0.5796252927400468,0.22160364788384684,0.6317334895917296,0.43893373589712126
70-80F,3288,0.579678479255896,0.573905109489051,0.22298959908180216,0.6382752828779985,0.44284368050836215
80-90F,3032,0.5132154305855575,0.5171503957783641,0.20840423327090074,0.6036056425941998,0.42047831490340204
>90F,1065,0.3135046401625514,0.3107981220657277,0.18219757428961728,0.5415013159264701,0.35746772251326736
