bucket,rows,avg_probability,event_rate,brier_score,log_loss,avg_abs_error
0-10,129,0.07437625390532399,0.03875968992248062,0.03859295716873592,0.17491027603275258,0.10720004820198548
10-25,914,0.18408722533486593,0.20459518599562362,0.15890136654112055,0.49394551410300647,0.30714206265819116
25-40,2199,0.3377729806318135,0.3360618462937699,0.22117656504623862,0.6339608233982452,0.44305468846050655
40-60,5645,0.5086332822343381,0.5007971656333038,0.2470673132491837,0.6872506192999679,0.4937752810296609
60-75,5150,0.6797285852548183,0.6796116504854369,0.21510726195638874,0.6210770493368275,0.431013563457453
75-90,2161,0.8030298232389478,0.7737158722813512,0.17567988846113675,0.5376629877301045,0.33221950523221594
90-100,182,0.9263373237560001,0.8901098901098901,0.0988635012715898,0.3552118621548012,0.16672032761659647
