bucket,rows,avg_probability,event_rate,brier_score,log_loss,avg_abs_error
<=-8F,3317,0.7257118470810047,0.7111848055471812,0.19277939368514668,0.5727374639503734,0.37739064704569714
-8--4F,2214,0.6537441222141602,0.6355013550135501,0.21531062367626572,0.6212993969989069,0.4277785665407078
-4-0F,2771,0.5953469595992475,0.604835799350415,0.22481546153911,0.6406072453866216,0.44946096937976404
0-4F,2801,0.5294139300696615,0.523741520885398,0.22686198502575722,0.6442966011764716,0.4538227815700914
4-8F,2212,0.4625816507719513,0.4425858951175407,0.2319552567358749,0.6541683078324098,0.4551896240357769
>8F,3065,0.38694611429210013,0.39282218597063623,0.21177172073029726,0.6103032675090182,0.4247258553982577
