bucket,rows,avg_probability,event_rate,brier_score,log_loss,avg_abs_error
0-10,55287,0.047667142069095406,0.022283719500063307,0.02229749749558243,0.10989672805359381,0.0670322638935733
10-25,40152,0.1630733031057899,0.1123480773062363,0.09959872428338129,0.35023465752237887,0.23418093812908103
25-40,18264,0.3167287126909162,0.30436925098554535,0.20867602974537633,0.6073890694639178,0.42322657720704454
40-60,15379,0.4973167154644342,0.6214318226152545,0.23965902185435423,0.6723193730077436,0.48602105306261706
60-75,6085,0.6788158701754473,0.8581758422350041,0.15491896318776874,0.4943378340426528,0.3707733159076211
75-90,7231,0.8058965908823374,0.9798091550269672,0.050806360149976,0.24268789935979926,0.20531483970132502
90-100,120186,0.9926159256445238,1.0,0.00012837897982119503,0.007450198391789931,0.007384074355476271
