bucket,rows,avg_probability,event_rate,brier_score,log_loss,avg_abs_error
0-10,4527,0.05585685616240799,0.138060525734482,0.12372838298889062,0.46396417103789267,0.17568237741263393
10-25,10825,0.1691628332171493,0.31907621247113166,0.23705400868489018,0.6873909868635288,0.37591512706830077
25-40,3770,0.3154335613214731,0.47029177718832893,0.27197938256030574,0.741885909147911,0.48602030926402773
40-60,2161,0.490315124610518,0.6307265155020824,0.2509930432901349,0.6951654696146243,0.497706063806232
60-75,936,0.6669779709678233,0.7660256410256411,0.18920282978665273,0.567349388186838,0.4095632130652421
75-90,740,0.8180771077824927,0.8445945945945946,0.13137889186701993,0.43155054835370515,0.27835681050206096
90-100,9441,0.9937604823661357,0.9989407901705328,0.001127546105301382,0.009528227923614234,0.007164574475830497
