bucket,rows,avg_probability,event_rate,brier_score,log_loss,avg_abs_error
-5--2F,4590,0.9946918229768101,1.0,0.00018257491393981602,0.005406122040385921,0.005308177023189794
-2-0F,4671,0.9933357069942282,1.0,0.0002872417117059346,0.0068187845448361714,0.00666429300577162
0-2F,5521,0.38238082190455996,0.5129505524361528,0.21264964833725952,0.6135847091322129,0.384714275080244
2-5F,8138,0.24948594893410353,0.33017940525927747,0.19135089646425885,0.5654493716571143,0.343403657146777
>5F,9480,0.16852537948284257,0.33839662447257385,0.23686852692642615,0.7104414891269711,0.3644821495732078
