bucket,rows,avg_probability,event_rate,brier_score,log_loss,avg_abs_error
<=50F,15828,0.5857252596517288,0.6106899166034875,0.11067886311527919,0.3342400981025528,0.21847000924080115
50-60F,6354,0.4193305025286912,0.5089707271010387,0.15028299181424948,0.445119806650386,0.26476506155724994
60-70F,4464,0.3581091249127907,0.5241935483870968,0.20132658425303518,0.5988786147871386,0.30987158622736893
70-80F,4350,0.2761505827890699,0.5213793103448275,0.24438027173400623,0.7020005650162812,0.33895208717445974
80-90F,1404,0.14916576275907267,0.3418803418803419,0.22111569410553736,0.6660527114730522,0.3072947650803902
