bucket,rows,avg_probability,event_rate,brier_score,log_loss,avg_abs_error
-5--2F,13613,0.9999990000000003,1.0,1.0000000000575112e-12,1.0000005000290893e-06,1.0000000000287557e-06
-2-0F,14439,0.9999990000000002,1.0,1.0000000000575112e-12,1.000000500029089e-06,1.0000000000287557e-06
0-2F,17307,0.5675741865325042,0.5475819032761311,0.14117708098023665,0.43612950706783826,0.28856777090299474
2-5F,26086,0.371245026838842,0.34520432415855246,0.13523800265980784,0.4168610785214763,0.28093479197626015
>5F,26835,0.32483736907986555,0.29878889509968326,0.1609266996945796,0.4867201387788881,0.33361837046297155
