window,groups,grouped_log_loss,grouped_brier_score,top_bucket_accuracy,uniform_grouped_log_loss,uniform_grouped_brier_score,max_so_far_bucket_accuracy
early_09_10,3632,2.5898470524476056,0.11839083596129786,0.06497797356828194,2.197224577336219,0.09876543209876543,0.11536343612334801
late_13_plus,3639,1.9110218045495369,0.08662322343685495,0.3660346248969497,2.197224577336219,0.09876543209876543,0.5397087111843913
midday_11_12,3632,2.2086440488798242,0.10124249097612459,0.22356828193832598,2.197224577336219,0.09876543209876543,0.22466960352422907
all,10903,2.2362953340160496,0.10207558961051394,0.21828854443731083,2.197224577336219,0.09876543209876541,0.29340548472897365
